Courses,Skills
CS462,"['3D Modeling', 'Animations', 'Assigning 3D Object Properties', 'Blender', 'Calculating Lights, Shades, And', 'Camera Rendering', 'Character Animation', 'Character Design', 'Collisions', 'Constructing 3D Scenes', 'Design 3D', 'Develop 3D', 'Event Triggering', 'Finite State Machine', 'Fourier Transform', 'Game Design', 'Geometric Image Manipulation', 'Human Aware Ai', 'Immersive 3D Worlds', 'Implementing Animation To Chara', 'Implementing Movement To Charac', 'Manipulate Lighting', 'Manipulate Rendering', 'Manipulating 3D Object Properti', 'Movement', 'Principles Of Lighting', 'Principles Of Rendering', 'Real Time Rendering Pipeline', 'Scene Composition', 'Scene Layout', 'Scripting Interactive Behaviors', 'Scripting Interactive Elements', 'Tangent Space', 'Unity', 'Vectors']"
CS314,"['Agile', 'Black Box Testing', 'Burndown Charts', 'Clean Code', 'Cmmi', 'Code Climate', 'Code Quality', 'Communication', 'Compatability Standards', 'Concurrency', 'Configuration Management', 'Continuous Integration', 'Databases', 'Development Environments', 'Devops', 'Docker', 'Docker Container', 'Establishing Interpersonal Rela', 'Git', 'Github', 'Github Actions', 'Github Projects', 'Github Repository', 'Individual Metrics', 'Integration Tests', 'Intellij', 'Java', 'Java Concurrency', 'Java Spark', 'Json', 'Junit', 'Kml', 'Linux', 'Mariadb', 'Maven', 'Networking', 'Npm', 'Optimization', 'Peer Evaluation', 'Peer Review', 'Port Forwarding', 'Postman', 'Problem Solving', 'Product Integration', 'Project Management', 'Project Planning', 'Refactoring', 'Remote Development', 'Rest Api', 'Retrospectives', 'Scrum', 'Slack', 'Slf4J', 'Software Development Practices', 'Source Control', 'Sprint Planning', 'Sql', 'Story Boards', 'Story Sizing', 'Task Breakdown', 'Team Development Experience', 'Team Diversity', 'Team Metrics', 'Teamwork', 'Test Driven Development', ""Tuckman'S Model"", 'Unix', 'Use Case Testing', 'Verification', 'VS Code', 'Webpack', 'White Box Testing']"
CS165,"['Algorithms', 'Assertions', 'B+ Trees', 'Binary Search Trees', 'Black Box Testing', 'Branching Recursion', 'Data Structures', 'Dequeues', 'Expression Trees', 'Generics', 'Graph', 'Hashmap', 'Infix', 'Inheritance', 'Java', 'Linkedlists', 'Object Oriented Principles', 'Object Oriented Programming', 'Pcre', 'Polymorphism', 'Postfix', 'Prefix', 'Priority Queues', 'Problem Solving', 'Queues', 'Regex', 'Stack', 'Unit Testing']"
CS201,"['Argument Construction', 'Computer Solution Designing', 'Computer Solution Implementatio', 'Computer Solution Operations', 'Decision Making', 'Ethical Dilemma Analysis', 'Ethical Dilemma Problem Solving', 'Ethics Analysis', 'Legal Obligations', 'Moral Obligations', 'Philosophy', 'Professional Code Of Ethics']"
CS370,"['Commercial Operating Systems', 'Containers', 'Deadlocks', 'Deadlocks Management', 'Design Threaded Programs', 'File System Architecture', 'Interprocess Communication', 'Kernel Threads', 'Memory Management', 'Open Source Operating Systems', 'Operating Systems', 'Process Synchronization', 'Processes Management', 'Resource Management', 'Scheduling Algorithms', 'Storage Architecture', 'Symmetric Multiprocessing', 'Synchronization', 'Task Synchronization', 'Thread Management', 'Threads', 'Type-1 Hypervisors', 'Type-2 Hypervisors', 'User Threads']"
CS150,"['Conditionals', 'Data Analysis', 'Data Visualization', 'Dictionaries', 'Functions', 'Hcc', 'Html', 'I O Console', 'I O File', 'Libraries', 'Lists', 'Loops', 'Operator', 'Privacy', 'Python', 'Research', 'Research Design', 'Security', 'Sets']"
CS110,"['Data Analysis', 'Data Manipulation', 'Data Visualization', 'Hardware', 'Privacy', 'Research', 'Security']"
CS455,"['Abstraction', 'Algorithms Underpinning P2P Sys', 'Amazon Dynamo', 'Architectural Styles For Distri', 'Berkley Algorithm', 'Bittorrent', ""Brewer'S Cap Theorem"", 'Build Distributed Systems', 'Build Scalable Servers', 'Casual Consistency', 'Central-Server Algorithm', 'Centralized Single Cpu Systems', 'Chord', 'Clock Synchronization In Distri', 'Combiner Functions', 'Compound Actions', 'Concurrency Primitives', 'Concurrent Collections', 'Concurrent Programming', 'Conditions Requirements For Dis', 'Confinement', 'Consensus', 'Consistency', 'Consistency Protocol', 'Consistent Ordering Of Operatio', 'Core Architecture Framework', ""Cristian'S Algorithm"", 'Data And Client Centric Consist', 'Data Synchronization', 'Design And Build Distrubuted Fa', 'Design Cloud Scale Storage Syst', 'Design Efficient Data Represent', 'Design Small Scale Storage Syst', 'Design Systems That Can Recover', 'Distributed Coordination', 'Distributed Deadlock Detection', 'Distributed Graph Algorithms', 'Distributed Hash Tables', 'Distributed Mutual Exclusion', 'Distributed Objects', 'Distributed Shared Memory', 'Election Algorithms', 'Elections In Wireless Environme', 'Exclusions', 'Extreme Scale Storage Systems', 'Failure Detectors', 'File System Design', 'Foundational Issues', 'Gnutella', 'Google File System', 'Grid Computing', 'Hadoop', 'Heaps', 'Hpc', 'Intrinsic Locks', 'Intrinsic Reentracy', ""Lamport'S Clocks"", 'Lazy Evaluations', 'Locking Strategies', 'Maekawa Algorithm', 'Map And Reduce Functions', 'Mapreduce', 'Mapreduce Data Flow', 'Monotonic Read', 'Monotonic Write', 'Multivariable Invariants', 'Multivariable Thread Safety', 'Napster', 'Narrow And Wide Transformations', 'Non-Blocking I O', 'Overlays', 'Pair Resilient Distributed Data', 'Partitioning Functions', 'Partitioning Schemes', 'Pastry', 'Peer To Peer', 'Performance Considerations', 'Pipelining Schemes', 'Race Conditions', 'Rdbms', 'Read-Your-Writes', 'Replica Placements', 'Resilient Distrubuted Datasets', ""Ricarat And Agarwala'S Algorith"", 'Ring-Based Algorithm', 'Scalable Server Design', 'Scale Entities In Scalable Syst', 'Sequential Consistency', 'Sharing Objects', 'Software Stack', 'Spark', 'Stacks', 'Stateful And Stateless Transfor', 'Structured Peer To Peer', 'Synchronization In Wireless Set', 'Synchronized Collections', 'Tapestry', 'Tasks And Split Strategies', 'Thread Lifecycle', 'Thread Management', 'Thread Pools', 'Thread Safety', 'Thread-Safe Classes', 'Time And Global Positioning Sys', 'Time Synchronization Algorithms', 'Token Permission Based Approach', 'Transformations', 'Unstructured Peer To Peer', 'Vector And Matrix Clocks', 'Volunteer Computing', 'Voting Sets', 'Windowed Operations', 'Write Mapreduce Programs That E']"
CS470 - Modules,"['Accelerators', 'Activation Records', 'Analysts Memory Heirarchy', 'Assembly', 'Cache', 'Combination Circuits', 'Custom Accellerators', 'Datapaths', 'Design Memory Heirarchy', 'Disk Memory Heirarchy', 'Elements Of Compilation', 'Implementation Memory Heirarchy', 'Instruction Set Processors', 'Instruction Set Processors Micr', 'Pipelining', 'Prefetching Data', 'Prefetching Instructions', 'Ram Memory Heirarchy', 'Rationale Memory', 'Register Transfer Notation', 'Registers', 'Sequential Circuits', 'Ssd Memory Heirarchy', 'Stack Frame', 'State Machine', 'Structure Memory', 'Systolic Matric Multipliers']"
CS453,"['Activation Records', 'Asm Code Generation', 'Ast Lowering', 'Ast Translation', 'Compiler Algorithms', 'Compiler Back-End Design', 'Compiler Construction', 'Compiler Front-End Design', 'Compiler Middle-End Design', 'Compiler Testing', 'Control Flow Analysis', 'Dataflow Analysis', 'Develope A Compiler From Java', 'Develope A Compiler From Mips', 'Grammars', 'Instructor Scheduling', 'Intermediate Representation Con', 'Lexical Analysis', 'Linear Scan Algorithm', 'Liveness Analysis', 'Ll Parsing', 'Lr Bison', 'Lr Flex', 'Lr Parsing', 'Mips Assembly', 'Parsers', 'Register Allocation', 'Semantic Analysis', 'Simd Vectorization', 'Translation', 'Type Analysis', 'Type Checking']"
